year,state,pct_renew,genMWH_renew,pct_fossil,genMWH_fossil,genMWH
1991,mi,3.274993809099697,3470777.0,71.95229932547213,76253697.0,105978124.0
1991,mn,4.5134340530298624,1901605.0,66.86456007069192,28171450.0,42132110.0
1991,mo,1.8510030123989318,1119389.0,81.72643560220511,49423838.0,60474726.0
1991,ms,7.10407419579129,1838294.0,57.601770648836,14905389.0,25876616.0
1991,mt,42.26724843089105,12068630.0,57.73275156910895,16484518.0,28553148.0
1991,nc,8.045424504609127,7190621.0,57.542619948485985,51428880.0,89375284.0
1991,nd,6.346597084563441,1756684.0,93.65340291543654,25922464.0,27679148.0
1991,ne,4.541979301442713,1044671.0,60.46871379810052,13908014.0,23000347.0
1991,nh,18.797538150586504,2673262.0,33.47242710796401,4760228.0,14221341.0
1991,nj,1.8985299656535406,826363.0,41.46599220805108,18048681.0,43526466.0
